timestamp,machine_id,cpu_util,mem_util,disk_util,load1,load5,load15,timestep
5460,1,100.0,66.8,20.1,0.85,0.73,0.69,91
5520,1,100.0,66.0,21.6,1.22,1.04,0.97,92
5580,1,100.0,65.6,13.4,1.13,1.09,1.08,93
5640,1,100.0,65.0,16.8,1.43,1.41,1.27,94
5700,1,100.0,64.4,16.7,1.36,1.34,1.25,95
5760,1,100.0,64.0,15.8,0.97,0.87,0.87,96
5820,1,100.0,64.2,20.1,1.43,1.24,1.19,97
5880,1,100.0,64.7,19.4,1.22,1.13,1.0,98
5940,1,100.0,64.2,21.1,1.43,1.41,1.37,99
6000,1,100.0,64.5,18.5,1.41,1.34,1.2,100
6060,1,100.0,65.1,28.8,1.05,1.02,0.97,101
6120,1,100.0,64.1,26.3,0.94,0.84,0.76,102
6180,1,100.0,64.5,20.7,0.99,0.87,0.81,103
6240,1,100.0,64.1,14.5,1.04,0.98,0.94,104
6300,1,100.0,64.1,18.4,1.13,1.05,0.92,105
6360,1,100.0,64.4,25.8,1.18,1.15,1.03,106
6420,1,100.0,66.8,24.1,0.82,0.74,0.63,107
6480,1,100.0,66.2,13.1,1.47,1.38,1.2,108
6540,1,100.0,66.1,24.7,1.04,0.93,0.89,109
6600,1,100.0,66.3,16.0,1.11,0.98,0.95,110
6660,1,100.0,66.8,15.3,1.12,1.02,0.97,111
6720,1,100.0,66.8,29.1,1.36,1.26,1.2,112
6780,1,100.0,68.3,26.9,1.19,1.17,1.08,113
6840,1,100.0,66.4,21.2,1.0,0.87,0.82,114
6900,1,100.0,66.1,14.8,1.47,1.33,1.25,115
6960,1,100.0,66.2,17.6,0.96,0.95,0.84,116
7020,1,100.0,65.8,16.4,1.28,1.25,1.22,117
7080,1,100.0,65.8,25.9,1.08,0.93,0.85,118
7140,1,100.0,64.9,23.8,1.26,1.2,1.04,119
7200,1,100.0,66.3,29.1,1.2,1.11,1.11,120
7260,1,100.0,65.3,21.1,1.4,1.39,1.35,121
7320,1,100.0,65.0,16.6,1.4,1.19,1.04,122
7380,1,100.0,65.2,19.1,1.05,1.02,0.92,123
7440,1,100.0,65.3,15.9,1.33,1.21,1.04,124
7500,1,100.0,65.4,28.7,1.32,1.18,1.16,125
7560,1,100.0,64.5,21.3,1.37,1.34,1.15,126
7620,1,100.0,64.2,14.3,1.03,0.91,0.79,127
7680,1,100.0,65.4,25.7,0.91,0.82,0.73,128
7740,1,100.0,65.0,15.8,1.26,1.09,0.97,129
7800,1,100.0,65.0,20.7,1.4,1.34,1.31,130
7860,1,100.0,63.9,21.3,0.84,0.72,0.69,131
7920,1,100.0,63.7,28.5,1.48,1.47,1.32,132
7980,1,100.0,63.0,15.2,0.85,0.78,0.74,133
8040,1,100.0,63.6,29.1,1.5,1.41,1.4,134
8100,1,100.0,64.3,21.7,1.48,1.28,1.11,135
8160,1,100.0,64.1,20.3,1.37,1.21,1.05,136
8220,1,100.0,63.2,22.6,1.19,1.07,1.03,137
8280,1,100.0,64.7,13.5,1.32,1.27,1.25,138
8340,1,100.0,65.0,20.3,0.92,0.82,0.71,139
8400,1,100.0,64.9,15.5,1.35,1.16,1.07,140
8460,1,100.0,65.7,21.0,0.98,0.93,0.82,141
8520,1,100.0,64.7,13.9,0.85,0.83,0.77,142
8580,1,100.0,65.9,28.8,1.19,1.06,0.91,143
8640,1,100.0,67.5,12.4,1.12,0.96,0.85,144
8700,1,100.0,67.9,21.1,1.13,1.08,0.93,145
8760,1,100.0,69.8,27.1,1.47,1.27,1.13,146
8820,1,100.0,69.4,26.3,0.81,0.69,0.59,147
8880,1,100.0,70.8,27.2,1.06,1.01,0.98,148
8940,1,100.0,71.1,18.4,1.14,1.09,1.07,149
9000,1,100.0,71.7,25.3,0.87,0.84,0.76,150
9060,1,100.0,71.7,28.0,1.15,1.11,1.0,151
9120,1,100.0,72.0,17.4,0.92,0.8,0.76,152
9180,1,100.0,73.2,22.2,0.86,0.81,0.79,153
9240,1,100.0,74.4,24.4,0.82,0.71,0.66,154
9300,1,100.0,75.3,20.9,1.2,1.06,0.94,155
9360,1,100.0,74.7,22.7,0.86,0.77,0.71,156
9420,1,100.0,75.9,16.2,0.9,0.85,0.74,157
9480,1,100.0,76.0,25.6,1.13,1.08,1.07,158
9540,1,100.0,75.7,19.2,1.39,1.21,1.11,159
9600,1,100.0,75.5,21.1,1.05,0.91,0.81,160
9660,1,100.0,76.8,21.1,0.89,0.8,0.76,161
9720,1,100.0,77.5,28.2,1.43,1.42,1.35,162
9780,1,100.0,78.4,29.0,1.04,1.02,0.9,163
9840,1,100.0,79.8,21.3,0.92,0.85,0.83,164
9900,1,100.0,80.3,19.2,1.33,1.21,1.1,165
9960,1,100.0,81.2,14.4,1.19,1.02,0.93,166
10020,1,100.0,79.9,27.3,1.29,1.2,1.1,167
10080,1,100.0,79.9,29.6,1.2,1.09,1.07,168
10140,1,100.0,81.6,22.3,0.84,0.8,0.79,169
10200,1,100.0,80.2,25.3,1.19,1.02,0.91,170
10260,1,100.0,79.6,14.7,1.26,1.13,1.04,171
10320,1,100.0,79.9,17.0,1.1,1.02,0.91,172
10380,1,100.0,78.4,19.4,1.49,1.49,1.44,173
10440,1,100.0,78.3,21.4,0.88,0.84,0.74,174
10500,1,100.0,77.1,25.0,1.42,1.22,1.21,175
10560,1,100.0,76.5,21.0,1.17,1.16,0.99,176
10620,1,100.0,77.4,13.3,1.21,1.18,1.03,177
10680,1,100.0,78.1,13.7,0.91,0.83,0.78,178
10740,1,100.0,79.5,28.1,1.36,1.33,1.31,179
10800,1,100.0,77.5,21.3,0.81,0.81,0.81,180
10860,1,100.0,76.0,26.6,1.22,1.14,1.07,181
10920,1,100.0,73.6,26.5,1.29,1.13,1.12,182
10980,1,100.0,73.2,17.6,1.29,1.11,1.01,183
11040,1,100.0,73.7,24.6,1.27,1.18,1.11,184
11100,1,100.0,74.0,26.2,1.4,1.28,1.18,185
11160,1,100.0,75.1,26.0,1.17,1.01,0.98,186
11220,1,100.0,74.6,13.4,1.43,1.38,1.26,187
11280,1,100.0,74.3,12.4,1.42,1.32,1.3,188
11340,1,100.0,73.6,16.2,1.01,0.98,0.93,189
11400,1,100.0,74.0,23.8,1.04,0.89,0.86,190
11460,1,100.0,71.7,28.9,1.38,1.18,1.01,191
11520,1,100.0,73.0,18.8,1.17,1.16,1.01,192
11580,1,100.0,74.0,12.5,1.14,1.1,0.93,193
11640,1,100.0,74.5,24.4,1.02,0.88,0.85,194
11700,1,100.0,75.4,23.3,0.89,0.78,0.75,195
11760,1,100.0,73.9,17.4,1.09,0.94,0.84,196
11820,1,100.0,73.1,14.7,0.83,0.77,0.68,197
11880,1,100.0,73.7,23.1,1.04,0.89,0.84,198
11940,1,100.0,73.7,13.6,0.92,0.92,0.85,199
12000,1,100.0,73.8,14.8,1.11,1.02,0.97,200
12060,1,100.0,72.3,14.5,1.21,1.04,0.89,201
12120,1,100.0,71.7,22.7,1.45,1.36,1.19,202
12180,1,100.0,73.5,21.1,1.05,0.95,0.87,203
12240,1,100.0,73.5,17.2,1.12,0.97,0.89,204
12300,1,100.0,73.1,22.1,1.12,0.96,0.84,205
12360,1,100.0,73.5,26.3,1.21,1.16,1.15,206
12420,1,100.0,74.3,15.9,1.05,1.01,0.96,207
12480,1,100.0,73.9,18.7,1.16,1.16,1.01,208
12540,1,100.0,73.0,26.2,1.06,0.9,0.81,209
12600,1,100.0,73.2,20.0,1.01,0.87,0.82,210
12660,1,100.0,73.0,22.9,0.99,0.89,0.87,211
12720,1,100.0,72.4,27.0,1.2,1.02,0.89,212
12780,1,100.0,71.8,24.1,1.43,1.28,1.19,213
12840,1,100.0,70.9,26.8,1.17,1.0,0.93,214
12900,1,100.0,71.3,19.9,0.99,0.98,0.96,215
12960,1,100.0,70.9,17.7,1.03,0.94,0.84,216
13020,1,100.0,70.8,25.9,1.46,1.24,1.15,217
13080,1,100.0,71.1,21.4,1.11,1.0,0.87,218
13140,1,100.0,70.6,26.6,1.46,1.31,1.25,219
13200,1,100.0,71.7,21.1,1.12,1.07,1.02,220
13260,1,100.0,71.0,18.2,1.1,1.06,1.04,221
13320,1,100.0,70.7,17.5,0.93,0.93,0.9,222
13380,1,100.0,71.6,19.5,1.48,1.32,1.2,223
13440,1,100.0,71.0,29.2,1.34,1.26,1.08,224
13500,1,100.0,69.6,13.9,1.03,0.94,0.89,225
13560,1,100.0,71.2,29.9,1.08,1.08,1.03,226
13620,1,100.0,71.2,28.0,1.21,1.2,1.2,227
13680,1,100.0,70.9,29.4,1.24,1.16,1.14,228
13740,1,100.0,70.2,27.4,1.43,1.34,1.26,229
13800,1,100.0,71.2,28.1,1.29,1.26,1.07,230
13860,1,100.0,70.2,17.4,1.21,1.12,1.05,231
13920,1,100.0,70.8,24.1,1.19,1.09,1.04,232
13980,1,100.0,69.8,27.5,0.94,0.84,0.79,233
14040,1,100.0,70.0,17.4,0.95,0.89,0.82,234
14100,1,100.0,70.3,20.1,1.4,1.24,1.23,235
14160,1,100.0,70.1,25.7,1.48,1.36,1.28,236
14220,1,100.0,68.9,21.0,1.31,1.27,1.12,237
14280,1,100.0,67.4,28.7,1.15,1.02,0.95,238
14340,1,100.0,67.8,19.6,1.33,1.16,1.06,239
14400,1,100.0,65.4,29.3,1.08,0.95,0.91,240
14460,1,100.0,65.3,12.5,1.34,1.32,1.19,241
14520,1,100.0,64.9,18.2,1.19,1.12,0.97,242
14580,1,100.0,63.1,15.7,1.3,1.18,1.04,243
14640,1,100.0,64.3,16.8,1.48,1.42,1.3,244
14700,1,100.0,64.3,12.2,0.93,0.85,0.78,245
14760,1,100.0,64.3,25.1,1.04,0.94,0.93,246
14820,1,100.0,64.6,14.7,1.45,1.29,1.14,247
14880,1,100.0,64.4,13.1,0.8,0.76,0.75,248
14940,1,100.0,64.4,18.3,1.11,1.1,1.02,249
15000,1,100.0,63.7,24.0,0.94,0.91,0.84,250
15060,1,100.0,63.3,19.5,1.41,1.32,1.15,251
15120,1,100.0,62.4,20.8,1.43,1.29,1.23,252
15180,1,100.0,62.2,22.6,0.93,0.88,0.75,253
15240,1,100.0,62.4,23.3,1.17,1.0,0.91,254
15300,1,100.0,60.7,15.0,1.04,0.9,0.79,255
15360,1,100.0,61.6,16.4,1.22,1.19,1.1,256
15420,1,100.0,61.5,29.1,1.47,1.26,1.11,257
15480,1,100.0,60.2,26.2,0.92,0.83,0.81,258
15540,1,100.0,60.3,20.0,0.92,0.8,0.75,259
15600,1,100.0,60.7,13.6,1.2,1.12,1.09,260
15660,1,100.0,60.0,27.2,0.86,0.74,0.67,261
15720,1,100.0,61.7,20.0,1.42,1.42,1.41,262
15780,1,100.0,61.4,16.8,0.97,0.87,0.87,263
15840,1,100.0,60.5,16.1,1.27,1.09,0.93,264
15900,1,100.0,60.9,19.8,1.0,0.89,0.76,265
15960,1,100.0,61.5,18.3,1.35,1.15,1.13,266
16020,1,100.0,60.0,24.4,1.23,1.09,0.95,267
16080,1,100.0,60.6,22.4,1.18,1.08,1.01,268
16140,1,100.0,62.3,26.3,1.43,1.4,1.31,269
16200,1,100.0,63.2,14.1,1.22,1.2,1.02,270
16260,1,100.0,62.4,19.2,0.88,0.84,0.78,271
16320,1,100.0,61.1,12.2,0.84,0.73,0.69,272
16380,1,100.0,60.2,28.7,1.34,1.26,1.17,273
16440,1,100.0,59.5,28.8,1.38,1.22,1.14,274
16500,1,100.0,58.8,18.6,1.34,1.23,1.13,275
16560,1,100.0,57.3,14.5,0.82,0.76,0.75,276
16620,1,100.0,56.9,13.6,0.97,0.88,0.79,277
16680,1,100.0,58.2,26.4,1.02,0.96,0.85,278
16740,1,100.0,57.4,28.4,1.2,1.17,1.15,279
16800,1,100.0,56.9,18.1,1.18,1.09,1.02,280
16860,1,100.0,56.4,29.4,1.26,1.14,0.98,281
16920,1,100.0,55.4,14.4,0.85,0.77,0.74,282
16980,1,100.0,55.0,19.1,1.05,0.91,0.9,283
17040,1,100.0,54.7,28.6,0.86,0.82,0.79,284
17100,1,100.0,54.7,18.7,1.28,1.28,1.13,285
17160,1,100.0,53.7,23.4,0.82,0.73,0.7,286
17220,1,100.0,53.0,25.7,0.88,0.81,0.72,287
17280,1,100.0,52.4,28.3,1.04,0.92,0.89,288
17340,1,100.0,50.5,20.3,1.18,1.08,0.96,289
17400,1,100.0,50.1,14.5,1.09,1.04,0.91,290
17460,1,100.0,50.8,13.8,1.18,1.13,1.04,291
17520,1,100.0,50.9,24.0,1.17,0.99,0.87,292
17580,1,100.0,52.1,19.9,0.87,0.83,0.78,293
17640,1,100.0,50.8,26.4,1.06,0.91,0.79,294
17700,1,100.0,50.8,18.0,0.83,0.82,0.78,295
17760,1,100.0,49.9,25.6,1.07,1.05,0.93,296
17820,1,100.0,47.4,20.2,1.17,1.15,1.01,297
17880,1,100.0,48.1,12.6,0.99,0.99,0.91,298
17940,1,100.0,48.4,17.8,1.07,0.97,0.91,299
18000,1,100.0,50.9,15.1,1.37,1.24,1.07,300
18060,1,100.0,50.6,14.8,0.83,0.81,0.7,301
18120,1,100.0,49.4,12.8,0.97,0.92,0.86,302
18180,1,100.0,49.6,14.1,1.18,1.01,0.89,303
18240,1,100.0,48.2,14.2,1.44,1.3,1.25,304
18300,1,100.0,46.8,15.4,0.97,0.96,0.94,305
18360,1,100.0,46.0,21.1,0.9,0.81,0.7,306
18420,1,100.0,45.3,19.6,1.1,1.02,0.98,307
18480,1,100.0,43.7,12.2,1.22,1.07,1.03,308
18540,1,100.0,43.2,17.6,1.5,1.35,1.34,309
18600,1,100.0,43.6,19.9,1.41,1.23,1.2,310
18660,1,100.0,42.6,20.8,0.91,0.8,0.75,311
18720,1,100.0,43.2,24.6,1.13,1.0,0.94,312
18780,1,100.0,40.6,13.0,0.96,0.91,0.82,313
18840,1,100.0,40.3,19.7,1.14,0.98,0.94,314
18900,1,100.0,41.5,23.1,1.21,1.21,1.16,315
18960,1,100.0,42.1,16.5,0.85,0.81,0.69,316
19020,1,100.0,42.8,13.0,1.02,1.0,0.91,317
19080,1,100.0,43.0,24.1,1.5,1.33,1.29,318
19140,1,100.0,42.5,16.2,0.97,0.86,0.77,319
19200,1,100.0,43.3,19.3,1.03,1.0,0.87,320
19260,1,100.0,42.2,14.0,1.19,1.17,1.12,321
19320,1,100.0,42.4,12.4,1.34,1.29,1.1,322
19380,1,100.0,42.2,23.8,1.22,1.15,1.05,323
19440,1,100.0,41.8,22.4,1.37,1.24,1.07,324
19500,1,100.0,40.0,26.4,1.09,0.93,0.86,325
19560,1,100.0,37.7,24.9,0.92,0.85,0.78,326
19620,1,100.0,37.7,20.1,1.1,1.03,1.02,327
19680,1,100.0,38.3,16.8,1.44,1.38,1.18,328
19740,1,100.0,39.6,12.2,0.94,0.85,0.78,329
19800,1,100.0,39.9,27.2,1.02,1.0,0.87,330
19860,1,98.9,39.7,18.6,0.99,0.97,0.94,331
19920,1,97.5,40.3,12.8,1.02,0.94,0.87,332
19980,1,96.0,38.8,27.9,1.21,1.05,0.96,333
20040,1,94.5,38.4,18.3,0.82,0.7,0.62,334
20100,1,96.9,37.4,12.0,1.37,1.29,1.24,335
20160,1,91.9,36.0,22.1,0.83,0.75,0.74,336
20220,1,90.0,36.6,23.4,1.23,1.06,0.93,337
20280,1,91.9,36.7,25.3,1.38,1.19,1.06,338
20340,1,89.2,36.3,18.3,1.0,0.91,0.87,339
20400,1,87.4,35.6,22.2,1.03,1.01,0.94,340
20460,1,85.8,35.9,23.3,1.0,0.99,0.89,341
20520,1,85.4,37.0,11.8,0.76,0.75,0.73,342
20580,1,87.3,36.1,18.8,0.76,0.73,0.66,343
20640,1,86.1,36.0,12.8,0.72,0.7,0.69,344
20700,1,82.6,36.6,23.5,0.83,0.74,0.7,345
20760,1,82.9,36.1,11.6,0.87,0.76,0.74,346
20820,1,85.5,37.0,15.6,0.83,0.76,0.67,347
20880,1,87.1,37.1,10.8,1.12,1.1,0.97,348
20940,1,89.4,37.1,24.7,0.91,0.91,0.89,349
21000,1,88.2,36.4,25.3,1.2,1.2,1.12,350
21060,1,88.9,35.8,17.0,1.0,0.98,0.95,351
21120,1,85.2,34.8,18.1,1.01,0.94,0.81,352
21180,1,82.2,33.9,19.8,0.8,0.72,0.66,353
21240,1,78.9,35.1,15.4,0.74,0.67,0.62,354
21300,1,80.1,34.8,26.1,1.04,0.9,0.79,355
21360,1,77.4,34.7,24.1,0.86,0.78,0.77,356
21420,1,76.4,35.3,21.2,0.66,0.57,0.48,357
21480,1,75.3,34.9,9.9,0.94,0.9,0.79,358
21540,1,72.8,34.1,17.0,0.85,0.78,0.73,359
21600,1,75.9,35.1,11.9,0.62,0.6,0.58,360
21660,1,72.4,34.7,15.6,1.03,1.02,0.97,361
21720,1,72.6,34.1,22.0,0.97,0.9,0.82,362
21780,1,74.0,36.3,13.5,1.0,0.88,0.78,363
21840,1,69.8,34.5,20.1,0.85,0.77,0.73,364
21900,1,68.5,33.7,20.5,0.95,0.86,0.76,365
21960,1,65.2,33.7,19.4,0.91,0.86,0.76,366
22020,1,63.3,33.3,20.9,0.59,0.53,0.45,367
22080,1,63.7,33.3,26.3,0.75,0.68,0.68,368
22140,1,61.6,32.2,25.7,0.6,0.57,0.55,369
22200,1,57.8,33.6,17.0,0.52,0.45,0.42,370
22260,1,56.5,32.5,15.8,0.68,0.59,0.55,371
22320,1,56.7,31.7,14.6,0.76,0.76,0.74,372
22380,1,54.6,31.0,22.4,0.63,0.55,0.54,373
22440,1,56.2,31.8,9.7,0.72,0.68,0.64,374
22500,1,54.8,29.7,12.4,0.51,0.48,0.44,375
22560,1,51.1,30.5,11.5,0.65,0.62,0.61,376
22620,1,50.9,28.7,19.5,0.48,0.43,0.37,377
22680,1,50.5,26.7,8.4,0.44,0.4,0.39,378
22740,1,48.5,27.5,18.1,0.43,0.38,0.36,379
22800,1,50.4,26.6,19.9,0.45,0.42,0.37,380
22860,1,49.2,27.0,24.2,0.47,0.45,0.39,381
22920,1,50.0,26.7,10.1,0.61,0.55,0.54,382
22980,1,48.0,26.0,10.8,0.47,0.43,0.42,383
23040,1,46.0,26.7,8.8,0.59,0.51,0.48,384
23100,1,45.1,25.0,20.0,0.43,0.38,0.36,385
23160,1,43.3,24.3,9.8,0.46,0.42,0.36,386
23220,1,44.0,24.5,16.3,0.51,0.44,0.37,387
23280,1,41.7,24.4,9.0,0.51,0.44,0.4,388
23340,1,38.2,23.9,9.6,0.43,0.42,0.38,389
23400,1,39.7,24.0,15.2,0.41,0.36,0.34,390
23460,1,37.4,24.3,7.9,0.52,0.5,0.48,391
23520,1,36.5,24.6,10.6,0.37,0.36,0.31,392
23580,1,34.6,24.5,10.1,0.4,0.37,0.36,393
23640,1,39.7,25.1,7.7,0.58,0.51,0.45,394
23700,1,38.9,24.7,15.0,0.46,0.42,0.38,395
23760,1,37.0,24.0,19.0,0.46,0.43,0.38,396
23820,1,37.6,24.7,18.2,0.5,0.49,0.48,397
23880,1,35.7,23.9,9.6,0.5,0.45,0.43,398
23940,1,36.0,22.8,15.3,0.32,0.31,0.26,399
24000,1,32.7,21.1,11.9,0.36,0.34,0.3,400
24060,1,35.3,20.5,7.9,0.37,0.32,0.31,401
24120,1,36.9,21.6,10.2,0.43,0.4,0.38,402
24180,1,36.0,22.4,14.0,0.49,0.49,0.44,403
24240,1,36.7,23.1,23.3,0.34,0.31,0.28,404
24300,1,37.0,21.2,12.3,0.46,0.4,0.38,405
24360,1,39.2,21.1,20.9,0.39,0.34,0.32,406
24420,1,40.1,19.9,7.1,0.48,0.44,0.44,407
24480,1,39.0,20.5,10.7,0.53,0.51,0.48,408
24540,1,36.5,20.4,17.1,0.43,0.38,0.37,409
24600,1,36.3,19.8,18.8,0.44,0.39,0.35,410
24660,1,36.7,20.2,10.4,0.48,0.43,0.43,411
24720,1,37.6,19.6,12.3,0.46,0.43,0.37,412
24780,1,39.9,19.1,22.0,0.42,0.37,0.34,413
24840,1,37.7,19.3,15.5,0.54,0.5,0.48,414
24900,1,43.2,19.6,6.8,0.64,0.6,0.53,415
24960,1,44.5,19.1,13.9,0.44,0.42,0.41,416
25020,1,45.0,20.3,24.1,0.55,0.53,0.46,417
25080,1,43.9,18.7,14.0,0.54,0.47,0.44,418
25140,1,45.1,17.7,9.3,0.4,0.35,0.31,419
25200,1,44.5,17.8,8.7,0.61,0.56,0.48,420
25260,1,42.5,18.0,10.8,0.57,0.5,0.44,421
25320,1,44.2,18.2,21.5,0.42,0.36,0.36,422
25380,1,41.6,17.0,22.3,0.51,0.5,0.46,423
25440,1,40.4,18.0,10.4,0.59,0.59,0.51,424
25500,1,41.5,17.2,11.2,0.48,0.47,0.46,425
25560,1,39.0,16.6,16.4,0.48,0.45,0.45,426
25620,1,36.6,15.5,21.4,0.46,0.41,0.36,427
25680,1,37.9,15.7,22.0,0.54,0.52,0.47,428
25740,1,38.5,15.7,9.4,0.57,0.51,0.5,429
25800,1,37.9,15.3,16.0,0.49,0.44,0.38,430
25860,1,34.1,16.5,10.9,0.51,0.51,0.48,431
25920,1,33.9,17.6,5.5,0.36,0.36,0.33,432
25980,1,34.1,19.2,13.5,0.36,0.34,0.33,433
26040,1,32.6,18.1,9.9,0.43,0.39,0.35,434
26100,1,31.6,17.4,11.3,0.41,0.37,0.33,435
26160,1,32.5,16.5,18.5,0.48,0.43,0.38,436
26220,1,36.4,16.1,18.8,0.36,0.31,0.28,437
26280,1,35.9,13.8,23.4,0.5,0.44,0.42,438
26340,1,39.5,15.2,11.1,0.53,0.48,0.41,439
26400,1,37.3,15.4,9.1,0.42,0.36,0.34,440
26460,1,38.4,16.7,14.7,0.56,0.56,0.51,441
26520,1,38.9,18.0,9.4,0.41,0.37,0.32,442
26580,1,39.3,18.0,6.8,0.55,0.51,0.48,443
26640,1,37.2,20.3,21.9,0.39,0.38,0.35,444
26700,1,34.0,19.5,8.7,0.49,0.47,0.41,445
26760,1,34.6,19.5,10.5,0.36,0.34,0.3,446
26820,1,32.4,19.9,16.5,0.39,0.34,0.34,447
26880,1,33.1,19.0,6.1,0.36,0.35,0.3,448
